14:01:20:793   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600803 日期:20160406,最高价:13.170,最低价:9.950,不满足区间:0.300
14:01:20:798   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600803
14:01:20:861   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600800 日期:20160418,最高价:9.460,最低价:7.000,不满足区间:0.300
14:01:20:868   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600800
14:01:20:908   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600796 日期:20160415,最高价:12.290,最低价:9.410,不满足区间:0.300
14:01:20:913   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600796
14:01:21:018   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600785 日期:20160329,最高价:30.110,最低价:22.300,不满足区间:0.300
14:01:21:022   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600785
14:01:21:111   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600779 日期:20160504,最高价:13.960,最低价:10.720,不满足区间:0.300
14:01:21:114   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600779
14:01:21:132   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600778 日期:20160427,最高价:11.850,最低价:8.950,不满足区间:0.300
14:01:21:132   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600778
14:01:21:292   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600769 日期:20160420,最高价:10.850,最低价:8.280,不满足区间:0.300
14:01:21:296   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600769
14:01:21:343   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600766
14:01:21:385   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600764 日期:20160504,最高价:20.950,最低价:16.100,不满足区间:0.300
14:01:21:388   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600764
14:01:21:456   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600760 日期:20160425,最高价:13.500,最低价:10.350,不满足区间:0.300
14:01:21:461   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600760
14:01:21:504   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600754 日期:20160420,最高价:49.330,最低价:37.230,不满足区间:0.300
14:01:21:508   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600754
14:01:21:527   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600750 日期:20160415,最高价:33.500,最低价:25.560,不满足区间:0.300
14:01:21:528   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600750
14:01:21:545   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600746 日期:20160415,最高价:11.360,最低价:8.680,不满足区间:0.300
14:01:21:545   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600746
14:01:21:561   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600745 日期:20160104,最高价:47.990,最低价:36.880,不满足区间:0.300
14:01:21:561   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600745
14:01:21:660   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600738 日期:20160229,最高价:9.500,最低价:7.210,不满足区间:0.300
14:01:21:664   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600738
14:01:21:701   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600734 日期:20160321,最高价:14.390,最低价:10.760,不满足区间:0.300
14:01:21:707   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600734
14:01:21:708   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600732
14:01:21:745   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600730 日期:20160331,最高价:17.770,最低价:13.380,不满足区间:0.300
14:01:21:758   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600730
14:01:21:797   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600728 日期:20160229,最高价:10.650,最低价:7.840,不满足区间:0.300
